Name,Town,Phone,Alt Phone,Hours,Completed,Max Date,Risk,Status,Employed,Trans. Prob,Medical,Drugs,Sex Off.,Skills,Mag/PO,Site,Hours Remaining,Days Remaining
1000025,Lippencott,111-1136,,175,6,,Data missing,,,,,,,,Downer,,169.0,Data Missing
1000026,Wbg,111-1137,,90,21,6.9.15,High Risk,,,,,,,,Downer,,69.0,-139
1000027,Jacktown,111-1138,,90,0,2.9.16,0.85,,,,,,,,Downer,,90.0,106
1000028,Wbg,111-1139,,90,6,5.11.20,0.05,,,,,,,,Downer,,84.0,1659
1000029,Wbg,111-1140,222-2225,90,0,5.11.16,0.45,,,,,,,,Downer,,90.0,198
1000030,Sycamore,111-1141,222-2226,90,0,5.12.15,High Risk,,,,,,,,Downer,,90.0,-167
1000031,Clarksville,111-1142,,50,0,9.14.17,0.07,,,,,,,,Downer,,50.0,689
1000032,Holbrook,111-1143,,300,4,2.22.16,2.49,,,,,,,,Downer,,296.0,119
1000033,Wbg,111-1144,,90,0,5.11.16,0.45,,,,,,,,Downer,,90.0,198
1000034,Graysville,111-1145,222-2227,75,0,1.12.16,0.96,,,,,,,,Downer,,75.0,78
1000035,Wbg,111-1146,,100,16,11.10.17,0.11,,,,,,,,Downer,,84.0,746
1000036,Wbg,111-1147,222-2228,50,0,2.15.17,0.1,,,,,,,,Downer,,50.0,478
1000037,Wbg,111-1148,,,12,,Data missing,,,,,,,,Downer,,Data Missing,Data Missing
1000038,Wbg,111-1149,,90,12,9.14.16,0.24,,,,,,,,Downer,,78.0,324
1000039,Wbg,111-1150,,250,53,6.11.20,0.12,,N,Y,N,Y,N,,Jones,,197.0,1690
1000040,Carmichaels,111-1151,,150,19,1.12.18,0.16,,Y,N,N,N,N,,Jones,,131.0,809
1000041,Wbg,111-1152,222-2229,400,17,11.23.16,0.97,,N,Y,N,Y,N,,Jones,,383.0,394
1000042,Wbg,111-1153,,375,22,5.17.18,0.38,,Y,N,N,N,N,,Jones,,353.0,934
1000043,Rices Landing,111-1154,222-2230,300,0,12.20.15,5.45,,N,Y,N,Y,N,,Jones,,300.0,55
1000044,Mather,111-1155,222-2231,50,11.5,12.9.15,0.88,,N,N,N,N,N,,Jones,,38.5,44
1000045,Wbg,111-1156,,125,11,1.30.17,0.25,,N,N,N,N,N,,Jones,,114.0,462
1000046,Carmichaels,111-1157,,225,13.5,6.28.16,0.86,,Y,N,N,N,N,,Jones,,211.5,246
1000047,Nemacolin,111-1158,,50,5,3.31.17,0.09,,N,Y,N,N,N,,Jones,,45.0,522
1000048,Bobtown,111-1159,,100,0,4.14.19,0.08,,Y,N,N,N,N,,Jones,,100.0,1266
1000049,Spraggs,111-1160,,50,25,12.8.16,0.06,,N,Y,N,Y,N,,Jones,,25.0,409
1000050,Jefferson,111-1161,,100,8,11.12.16,0.24,,Y,N,N,Y,N,,Jones,,92.0,383
1000051,Bobtown,111-1162,222-2232,125,76.5,5.6.17,0.09,,N,Y,N,N,N,,Jones,,48.5,558
1000052,Mt. Morris,111-1163,,50,32,2.2.17,0.04,,N,Y,N,N,N,,Jones,,18.0,465
1000053,Brave,111-1164,,75,0,5.3.17,0.14,,Y,N,N,N,N,,Jones,,75.0,555
